scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
severe,8102,phase2_guided_cfm_hocbf,5,1,0,0,0.47730851342183883,1.121150607629478,0.20440110997784122,0.2764403594080192,17.068988713811077,0.0
severe,8102,phase2_guided_cfm_hocbf,6,1,0,1,0.3257422345851001,0.5350734410474569,0.16845930402640924,0.23707211361079253,23.898553374355796,0.0
severe,8102,phase2_guided_cfm_hocbf,7,1,0,0,0.5614452436898899,0.8185024188433048,0.12679554777490457,0.18395559081059945,16.539508169170674,0.0
severe,8103,nash_reference,0,1,0,1,0.25072621401257905,0.34936456517533543,0.12720014809258218,0.1865306972008976,28.192329475842193,0.0
severe,8103,nash_reference,1,1,1,1,0.1590553461716704,0.10410835249520156,0.1482451718854035,0.21164203126319397,22.267901694115018,0.0
severe,8103,nash_reference,2,1,0,0,0.45229208087814066,0.6263679304413936,0.15926496914198618,0.21701881500715675,15.422287190052927,0.0
severe,8103,nash_reference,3,1,0,0,0.4001603106513871,0.44039357030344295,0.20315977387714124,0.24720505980739144,20.512492319128064,0.0
severe,8103,nash_reference,4,1,0,1,0.35365391347156455,0.49354394927820255,0.1879319290278142,0.22642566970961228,19.10341644214722,0.0
severe,8103,nash_reference,5,1,0,1,0.26999313454454416,0.21247881530126067,0.14243182879972718,0.19841346257112918,16.54100285223772,0.0
severe,8103,nash_reference,6,1,0,1,0.3125834151574132,0.37924172155973945,0.12184996750659374,0.17087141579172282,18.326910436564862,0.0
severe,8103,nash_reference,7,1,0,0,0.5502724958456598,0.7993865837946224,0.17049363133780338,0.22672400919074862,18.38147381177643,0.0
severe,8103,teacher_expert,0,1,0,1,0.3149294818175749,0.4266256741725627,0.12712033437930015,0.18625168080707685,28.751601766407926,0.0
severe,8103,teacher_expert,1,1,1,1,0.21084957703972163,0.27824815125009295,0.14836760129781493,0.21104519624024004,20.543154031787175,0.0
severe,8103,teacher_expert,2,1,0,0,0.5459071438954597,0.7683090902795056,0.15931509520912912,0.21699359034997526,15.17099849665431,0.0
severe,8103,teacher_expert,3,1,0,0,0.48505661019504415,0.5768053451924042,0.2030908432982494,0.24697209437544862,20.648720305848723,0.0
severe,8103,teacher_expert,4,1,0,0,0.4246281687467069,0.6178795945461424,0.1881400587919386,0.22734312886918245,19.023942087903265,0.0
severe,8103,teacher_expert,5,1,0,1,0.33208862455279115,0.37649257678976333,0.1425618195901182,0.1982891270830915,16.641168552205922,0.0
severe,8103,teacher_expert,6,1,0,0,0.3789054122055167,0.4892867799141589,0.1221262447572358,0.1708215715009994,18.515287253565525,0.0
severe,8103,teacher_expert,7,1,0,0,0.5995638876964384,0.8872765567300585,0.1705839947283921,0.22494911522558217,18.685622458242968,0.0
severe,8103,nash_reference_hocbf,0,1,0,0,0.6300078401879754,0.6334765147550123,0.12729438622513783,0.18297097261795212,26.43586859055043,0.0
